id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
292285,Sleek & Modern OB Condo 2+2 BCH,466847,Heather,,Loma Portal,32.75031,-117.23056,Entire home/apt,91,31,52,2022-03-04,0.48,1,81,3,
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,,West University Heights,32.75906,-117.14445,Entire home/apt,190,1,269,2022-03-03,2.54,6,159,32,
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73464,-117.16452,Entire home/apt,121,28,51,2022-01-24,0.41,1,265,8,
331892,In the heart of San Diego and UCSD Medical Center,1689428,Gene,,Midtown,32.74957,-117.16708,Private room,85,2,90,2020-02-19,0.74,1,359,0,
343495,Private & Cozy Bohemian OB Cottage,1012168,Chuck & Helen,,Ocean Beach,32.75152,-117.24682,Entire home/apt,138,5,353,2022-03-15,3.26,1,111,13,
359971,Hillcrest - (close to Zoo & Balboa Park),1821106,Marcela,,West University Heights,32.75568,-117.14679,Entire home/apt,99,45,84,2021-12-31,0.69,1,237,1,
366811,Private Floor to yourselves with game room,1852011,Brian,,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,110,3,299,2022-03-15,2.49,1,69,25,
385760,"Super location,  beautiful neighborhood",1486293,Ann,,Loma Portal,32.75711,-117.22541,Private room,22,31,91,2022-02-27,0.75,1,244,4,
393042,Twin Bed  Upstairs,164137,Melinda,,Roseville,32.74036,-117.21963,Private room,122,1,46,2020-02-16,0.39,3,71,0,
394524,Private Studio a few steps away from the beach,1972369,Edward,,Pacific Beach,32.80135,-117.25774,Entire home/apt,148,2,128,2021-09-29,1.08,1,333,22,
396390,Independent room in the back garden,1980775,Shirley,,Midtown,32.74359,-117.17584,Entire home/apt,93,3,185,2022-03-17,1.56,1,321,27,
401431,Charming Ocean Beach cottage,2003694,Edwin,,Ocean Beach,32.75103,-117.24745,Entire home/apt,138,2,64,2022-03-14,0.53,3,251,9,
410726,Wonderful La Jolla Beach Retreat!,2044776,Mauricio,,La Jolla,32.83452,-117.27772,Entire home/apt,250,3,171,2020-11-29,1.45,1,3,0,
